Product;Yield;Error
Br94;3.4704E-6;1.3117E-6
Br95;7.2593E-9;2.6968E-9
Kr80;0.0;0.0
Kr82;6.7125E-10;2.3154E-10
Kr83;2.2426E-8;8.9155E-9
Kr83m;5.1853E-9;2.0615E-9
Kr84;2.8934E-5;1.2975E-5
Kr85;1.5061E-4;5.7804E-5
Kr85m;3.4824E-5;1.3366E-5
Kr86;0.0022424;6.5874E-4
Kr87;0.0069073;0.0016833
Kr88;0.020639;0.0030085
Kr89;0.034248;0.0035244
Kr90;0.043094;0.0038316
Kr91;0.030849;0.0049295
Kr92;0.017361;0.0044247
Kr93;0.0061399;0.0021089
Kr94;0.0018006;6.7609E-4
Kr95;2.7008E-4;1.0029E-4
Kr96;4.1898E-5;1.5137E-5
Kr97;4.3988E-6;1.5421E-6
Kr98;8.2286E-7;2.8829E-7
Rb85;1.3257E-8;5.1985E-9
Rb86;7.7759E-7;2.685E-7
Rb86m;1.3987E-6;4.8298E-7
Rb87;8.5661E-5;3.0455E-5
Rb88;3.8966E-4;1.4803E-4
Rb89;0.0027967;0.0010131
Rb90;8.557E-4;2.7323E-4
Rb90m;0.0075998;0.0024267
Rb91;0.021575;0.0046184
Rb92;0.026107;0.0050347
Rb93;0.027115;0.005382
Rb94;0.01416;0.0042979
Rb95;0.0082238;0.0027718
Rb96;0.001055;3.738E-4
Rb96m;0.001055;3.738E-4
Rb97;5.8533E-4;2.0386E-4
Rb98;2.9209E-5;1.0226E-5
Rb98m;2.9209E-5;1.0226E-5
Rb99;6.56E-6;2.3665E-6
Rb100;6.7127E-9;2.5499E-9
Sr86;0.0;0.0
Sr87;1.4357E-9;5.1311E-10
Sr87m;3.3197E-10;1.1864E-10
Sr88;1.3881E-5;5.3536E-6
Sr89;1.2427E-4;4.8314E-5
Sr90;0.0011295;4.2072E-4
Sr91;0.0043164;0.0013901
Sr92;0.016104;0.0039204
Sr93;0.02905;0.0053188
Sr94;0.046061;0.0048546
Sr95;0.045288;0.0049061
Sr96;0.038167;0.005098
Sr97;0.018431;0.0043794
Sr98;0.007567;0.0023111
Sr99;0.0019118;6.6982E-4
Sr100;4.4369E-4;1.674E-4
Sr101;3.6656E-5;1.3455E-5
Sr102;1.1617E-6;4.1563E-7
Sr103;7.1962E-10;2.5918E-10
Y89;0.0;0.0
Y89m;0.0;0.0
Y90;1.3422E-6;5.1286E-7
Y90m;1.9046E-6;7.2774E-7
Y91;3.5218E-6;1.2405E-6
Y91m;1.5231E-5;5.3648E-6
Y92;1.1937E-4;4.1447E-5
Y93;1.2734E-4;4.5251E-5
Y93m;8.3297E-4;2.9601E-4
Y94;0.0028076;0.0010275
Y95;0.010776;0.0033996
Y96;0.0063056;0.0016313
Y96m;0.011342;0.0029344
Y97;0.0054103;9.5924E-4
Y97m;0.018441;0.0032695
Y97n;0.0049552;8.7854E-4
Y98;0.0043015;9.1507E-4
Y98m;0.01809;0.0038484
Y99;0.019373;0.0046852
Y100;0.0038858;0.0012948
Y100m;0.0038858;0.0012948
Y101;0.0029714;0.0010259
Y102;2.6931E-4;9.489E-5
Y102m;2.6931E-4;9.489E-5
Y103;7.1712E-5;2.5753E-5
Y104;6.4808E-6;2.4369E-6
Y105;2.5041E-9;1.0207E-9
Zr90;0.0;0.0
Zr90m;0.0;0.0
Zr91;0.0;0.0
Zr92;3.0333E-6;1.0553E-6
Zr93;2.1858E-5;7.8666E-6
Zr94;1.7695E-4;6.6777E-5
Zr95;0.0010044;3.6945E-4
Zr96;0.0051372;0.0017343
Zr97;0.011501;0.0033312
Zr98;0.027064;0.0048938
Zr99;0.036601;0.00511
Zr100;0.045755;0.0043304
Zr101;0.030052;0.0043365
Zr102;0.017397;0.0034446
Zr103;0.0044175;0.0013332
Zr104;0.0010185;3.5716E-4
Zr105;7.193E-5;2.9009E-5
Zr106;8.0296E-6;3.6959E-6
Zr107;2.1572E-9;8.5812E-10
Zr108;2.1585E-11;8.1638E-12
Nb95;2.2213E-6;8.252E-7
Nb95m;5.1361E-7;1.908E-7
Nb96;1.5159E-5;5.4763E-6
Nb97;1.2347E-4;4.3252E-5
Nb97m;2.8549E-5;1.0001E-5
Nb98;1.7463E-4;6.0958E-5
Nb98m;5.2697E-4;1.8395E-4
Nb99;0.0029881;0.0010514
Nb99m;6.9092E-4;2.4311E-4
Nb100;0.0014705;5.1431E-4
Nb100m;0.0061842;0.002163
Nb101;0.015891;0.0040206
Nb102;0.0089475;0.0018
Nb102m;0.0089475;0.0018
Nb103;0.017166;0.002615
Nb104;0.0033313;7.8485E-4
Nb104m;0.0033313;7.8485E-4
Nb105;0.0023434;6.8766E-4
Nb106;3.2363E-4;1.3133E-4
Nb107;5.0042E-5;1.8965E-5
Nb108;4.8336E-6;1.8088E-6
Nb109;1.5906E-6;5.7808E-7
Nb110;7.4167E-11;2.742E-11
Mo95;0.0;0.0
Mo96;0.0;0.0
