;Product;Yield;Error;Z;N
213;Br85;0.0024918;0.0007625;35;50
214;Br86;0.0071381;0.0015026;35;51
215;Br87;0.012767;0.00216;35;52
216;Br88;0.011023999999999999;0.0028594000000000002;35;53
217;Br89;0.0096596;0.0030997;35;54
218;Br90;0.0046521999999999996;0.0017515999999999999;35;55
219;Br91;0.002013;0.00071239;35;56
220;Br92;0.00030262;0.00010547;35;57
221;Br93;6.251399999999999e-05;2.2516e-05;35;58
222;Br94;3.4704000000000003e-06;1.3116999999999999e-06;35;59
223;Br95;7.2592999999999995e-09;2.6968000000000004e-09;35;60
224;Kr80;0.0;0.0;36;44
225;Kr82;6.7125e-10;2.3153999999999998e-10;36;46
226;Kr83;2.2426e-08;8.9155e-09;36;47
227;Kr83m;5.1853e-09;2.0615e-09;36;47
228;Kr84;2.8934e-05;1.2975e-05;36;48
229;Kr85;0.00015061;5.7804e-05;36;49
230;Kr85m;3.4824000000000004e-05;1.3365999999999999e-05;36;49
231;Kr86;0.0022424;0.00065874;36;50
232;Kr87;0.006907300000000001;0.0016832999999999998;36;51
233;Kr88;0.020638999999999998;0.0030085;36;52
234;Kr89;0.034248;0.0035244;36;53
235;Kr90;0.043094;0.0038316;36;54
236;Kr91;0.030849;0.0049295;36;55
237;Kr92;0.017361;0.0044247;36;56
238;Kr93;0.006139899999999999;0.0021089000000000004;36;57
239;Kr94;0.0018006;0.00067609;36;58
240;Kr95;0.00027008;0.00010029;36;59
241;Kr96;4.1898000000000004e-05;1.5137000000000001e-05;36;60
242;Kr97;4.3988e-06;1.5421e-06;36;61
243;Kr98;8.2286e-07;2.8829e-07;36;62
244;Rb85;1.3257000000000001e-08;5.1985e-09;37;48
245;Rb86;7.7759e-07;2.685e-07;37;49
246;Rb86m;1.3987e-06;4.829800000000001e-07;37;49
247;Rb87;8.5661e-05;3.0455e-05;37;50
248;Rb88;0.00038966;0.00014803;37;51
249;Rb89;0.0027967;0.0010131;37;52
250;Rb90;0.0008557;0.00027323;37;53
251;Rb90m;0.0075998;0.0024267;37;53
252;Rb91;0.021575;0.0046184;37;54
253;Rb92;0.026106999999999998;0.0050347000000000005;37;55
254;Rb93;0.027114999999999997;0.005382;37;56
